職缺,公司名稱,地址,薪資,連結,工作內容,工作經驗,科系要求,擅長工具,其他條件
工研院綠能所_資料分析工程師(H200),工研院 _財團法人工業技術研究院,台南市歸仁區,待遇面議,//www.104.com.tw/job/7mnmc?jobsource=jolist_d_relevance,"1. 發電設備預防性保養模組開發與維護
2. 以機器學習、統計方法與電腦視覺等技術進行跨域整合、研發與精進 (地熱、風力與海洋)
3. 資料庫建立與維護",碩士以上,資訊工程相關、數學及電算機科學學科類、數理統計相關,"['Python', 'R']","1.碩士(含)以上，資訊工程、電機工程、數學、統計相關科系所
2.具機器學習、統計建模、訊號處理、影像處理與系統整合經驗者佳。 熟悉資料分析工具，如Python、R、pandas、scikit-learn、PyTorch、Keras、TensorFlow、OpenCV等。 熟悉資料庫軟體，如SQL等
3.具主動積極、獨力自主、團隊協調合作特質
4.請檢附相當於TOEIC 650分之英語測驗成績證明，如無法提供，將安排參加本院英文檢測"
股權_數據工程師,遠雄人壽保險事業股份有限公司(總公司),台北市信義區,待遇面議,//www.104.com.tw/job/7eqzh?jobsource=jolist_d_relevance,"1.金融市場資料蒐集及研究整理
2.資料庫(Mysql)維護與管理
3.開發投資相關演算法
4.開發投資相關報表
",大學、碩士,財稅金融相關、資訊工程相關,"['Python', 'VBA', 'MySQL']",具金融、證券系統開發或大數據分析經驗者優先錄用
資料分析工程師,聚和國際股份有限公司,高雄市大寮區,待遇面議,//www.104.com.tw/job/7h0mf?jobsource=jolist_d_relevance,"1.熟悉SAS、R或Python應用及Excel統計分析功能。
2.具備資料統計分析、數據挖掘 (Data Mining) 、大數據處理分析能力。
3.能分析營運或工廠數據關聯特性、資料探勘統計數據解讀，應用為製程改善、市場趨勢報告。
4.需跨領域團隊合作、溝通協調能力，且具獨立研究能力。",大學、碩士,資訊工程相關、數學及電算機科學學科類,[],"1.有企圖心，願意學習新事物
2.有良好的溝通協調能力及團隊合作
3.分析思考及邏輯能力強"
Pentaho Intern資料庫助理工程師(實習)-T10S,Tata Consultancy Services Limited Taiwan Branch_印度商塔塔顧問服務有限公司台灣分公司,台北市信義區,時薪168元以上,//www.104.com.tw/job/79wco?jobsource=jolist_d_relevance,"•	協助處理專案文件
•	到客戶端進行服務，完成專案主管交辦事項
•	協助工程師處理技術相關轉換/升級工作(Pentaho為主要使用工具)

工作時段：一周累計時數超過2.5天者優先(一次打工時段最少4小時=一個上午or下午)",大學以上,電機電子維護相關、資訊工程相關、資訊管理相關,"['ETL', 'PL/SQL', 'Power BI\u200b']","• 資工、資管、電機等資訊相關系所學生優先 
• 具備英文讀、寫能力中等以上(多益500分以上) 
• 工作認真細心、負責任 
• 對於資料庫的管理、運維、建立有興趣 
• 願意學習，有卓越的自學能力及超強學習動力
"
"【DNA, Data & AI】Data Scientist & AI Engineer_資料科學家 & AI工程師",雲馥數位股份有限公司,新北市三重區,待遇面議,//www.104.com.tw/job/7gxgz?jobsource=jolist_d_relevance,"面對真實世界的複雜問題，運用資料科學與機器學習專業，協助客戶掌握有價值的資料並獲得洞見、預測，以領先的雲端服務技術助力產業客戶數位轉型。

本職務將接觸到廣泛的產業領域，包含零售/電商業、科技/製造業、政府機關、法人機構、上市櫃公司...等大型企業。

職務內容：
1. 與客戶溝通了解客戶需求目的、想解決的問題與希望獲得的商業價值
2. 定義數據收集與後續分析需求，建構所需要的資料處理流程並協助客戶進行數據處理(清洗、ETL、標籤、特徵提取等)
3. 依據數據處理與分析需求，建構數據模型/機器學習模型，視實際情況調整並優化模型與流程
4. 進行各種數據追蹤和分析，針對商業問題提供有用數據、評估與應用在客戶環境中，並持續優化與修正
5. 將數據結果給予最佳的視覺化建議與呈現，協助客戶部署建置機器學習模型
6. 引導客戶學習使用並協助客戶洞察數據，提供有效的決策支援

本職務需要具有以下技能：
1. 熟悉分類分群、推薦、迴歸預測、深度學習演算法理論基礎，有實作經驗尤佳
2. 熟悉程式開發與分析應用，如 Python 或 R
3. 熟悉任一機器學習框架，如TensorFlow、Pytorch等
4. 熟悉大數據生態系(Big Data Ecosystem)尤佳，如 Hadoop, Spark, MapReduce, Hive 等
5. 熟悉任一商業智慧(BI)工具，以PowerBI為主，其他如Tableau, QuickView, Qlik, , Quicksight亦可



",大學以上,數理統計相關、資訊工程相關、應用數學相關,"['Python', 'R', 'SAS']","1. 具備2年以上機器學習、人工智慧或深度學習相關經驗，5年以上數據分析、處理等相關經驗
2. 具有策略邏輯思考、分析判斷與溝通表達能力
3. 對於數據與分析具有熱情
4. 具有客戶經驗尤佳
5. 熟悉雲端服務產品、SaaS、雲端佈建尤佳



"
資料庫暨雲端應用工程師,雲寧科技股份有限公司,高雄市三民區,"月薪36,000~50,000元",//www.104.com.tw/job/7jg70?jobsource=jolist_d_relevance,"1. 資料庫規劃及設計
2. SQL 資料庫系統管理、建置、維護 
3. 資料庫監控、備份、性能優化、異常處理、故障排除等
4. 熟悉資料庫之SQL語法指令(PL/SQL或T-SQL)執行資料轉換及驗證
5. 資訊專案支援及需求執行
6. 熟悉操作Google Cloud Platform，進行雲端環境規劃、建置、維護
7. 監控數據之大數據分析
8. 透過雲端平台開發相關 API 供前端串接
9. 建立開發正式和測試等環境
10. 雲端安全網路與維護
11. 資料處理流程自動化程式開發及監控，並建立緊急狀況處理標準作業流程SOP
12. 能與團隊、程式人員良好溝通合作，可獨立作業且配合度高
",專科、大學、碩士,資訊工程相關、其他數學及電算機科學相關、電機電子工程相關,['Linux'],"1. 具備資安相關知識或證照猶佳
2. 具備公有雲相關證照猶佳
3. 主動積極、認真負責、擅於溝通協調
4. 具良好情緒管理能力、抗壓性高
5. 2年以上網站開發設計經驗猶佳
"
資料庫管理工程師,隆達電子股份有限公司,新竹市,待遇面議,//www.104.com.tw/job/7ma55?jobsource=jolist_d_relevance,"1. 具大型數據庫（Data Warehouse）維護作業經驗，對 Oracle 的佈署安裝，管理維護，資料備援及切換應用。
2. Oracle-DB 的即時監控及相關除錯；資料庫參數調校，權限管理，空間管理，系統資源檢測（CPU、Memory、IO）等。
3. 監控資料庫效能，並適時針對相關參數進行調校。DB 的存取效能及穩定性相關處理經驗。
4. 資料庫存取架構應用及設計規劃；提供諮詢建議並處理資料庫應用的相關問題，進行DB-Schema 建置與異動的工作。
5. 具有 Linux Shell Script 程式編寫經驗，資料庫軟硬體維護及備份等…背景排程工作（Schedule-Job）規劃。",大學、碩士,資訊工程相關、電機電子工程相關,[],"1. 懂 Dataguard、GoldenGate、SharePlex、RealSync 其中相關經驗者佳！
2.其他資料庫方面經驗：如 MS-SQL、MySQL、MongoDB、PostgreSQL。"
後端工程師 (資料庫工程師),池御科技有限公司,新北市中和區,"月薪36,000~50,000元",//www.104.com.tw/job/74rua?jobsource=jolist_d_relevance,"*** 後端工作內容：
    1. 系統架構規劃與設計
    2. 資料庫架構設計、維護
    3. API 開發、維護、串接
*** 能力要求：
    1. 後端 framework： Django
    2. 至少熟悉一種 SQL 資料庫，如：MS SQL Server, PostgreSQL or MySQL
    3. 至少熟悉一種 NoSQL 資料庫，如：Redis, MongoDB
    4. 至少會使用一種 AWS/GCP/Azure/Linode 雲端服務平台
    5. 熟悉 RESTful API
    6. 會使用 git 版控

*** 加分項目：
    1. DB HA、維護(備份、災難復原)
    2. AP Server HA(LB、cache、auto scaling)
    3. 有 Docker/K8s 實務經驗
    4. 有大量資料、高併發、低延遲處理經驗
",大學以上,不拘,"['Python', 'MS SQL', 'MySQL', 'PostgreSQL', 'Django']","1. 懂 Dataguard、GoldenGate、SharePlex、RealSync 其中相關經驗者佳！
2.其他資料庫方面經驗：如 MS-SQL、MySQL、MongoDB、PostgreSQL。"
資料科學工程師,漢神資產管理股份有限公司,台北市信義區,待遇面議,//www.104.com.tw/job/7g85c?jobsource=jolist_d_relevance,"1.    需求訪談，將業界問題轉化為可量化的解決方案。
2.    撰寫資料收集及清洗的自動化程式。
3.    透過機器學習或統計方法，實作解決方案。提供相關報告及成果指標以利檢視是否達標。
4.    追蹤成果指標，持續改善至成果達標。
5.    維護所開發的程式，持續改進效能及漏洞排除。",碩士以上,數學及電算機科學學科類,['Python']," 1.    附上個人作品集尤佳
2.    具有Git版本控管經驗
3.    具有Linux作業系統基本操作能力
4.    具有Docker使用經驗
5.    具有爬蟲程式相關開發經驗
6.    具有網站/App開發經驗 "
軟體工程師(資料庫),宇安科技農業有限公司,嘉義縣中埔鄉,"月薪30,000~45,000元",//www.104.com.tw/job/7mken?jobsource=jolist_d_relevance,"1. 負責軟體之分析、設計以及程式撰寫。 
2. 規劃執行軟體架構及模組之設計，根據進度時程安排軟體開發。 
3. 進行軟體之測試與修改。 
4. 規劃、執行與維護量產的產品。 
5. 協助研發軟體新技術與新工具。  

",碩士以上,數學及電算機科學學科類,"['Linux', 'Git', 'C', 'C++', 'MySQL', 'JavaScript']","1. 善於溝通，能透過溝通說明工作上所遇到困難並請求協助。
2. 熟悉docker使用以及網路相關設定者佳。
3. 熱於接受挑戰，對於死線觀念正確者優先。


【福利待遇】
月獎金 
季獎金
年終獎金
專案獎金

【聯絡方式】
宇安科技 楊經理
0970-552-970

－－－－－－－－－－－－－－－－

我們是宇安科技，
一間成立兩年、團隊平均年齡不到二十五歲的新創公司，這兩年靠著一群年輕人想當然的憑著熱血做事，逐漸闖出了些許的成績。
目前我們面對更多不同類型的案件，農業中的各種設備挑戰，急需態度良好的夥伴加入，喜歡接受挑戰的你，剛出社會不知道該掌握那些技能？覺得你身手不凡卻無從發揮？
宇安科技｜歡迎你的加入！ 
"
Python資料分析工程師 - 參與大型金融專案,一騰資訊服務股份有限公司,台北市大安區,待遇面議,//www.104.com.tw/job/7k37i?jobsource=jolist_d_relevance,"工作內容主要著重於外部資料爬蟲、Hadoop 資料串接客製化 ETL、Data API 的 Python 開發

Python Engineer  
【職務條件】
1.熟悉結構/半結構/非結構資料的分散式 ETL：使用 Kafka、Spark、Docker等以及雲端或其他 opensource 環境來進行開發。 
2.因應業務需求支援資料處理、資料分析，完善資料倉儲。 
3.與資料科學家合作，協助業務團隊解決商業命題：進行機器學習、深度學習、模型服務與統計分析模型最佳化自動化的研究與開發。 
4.產品開發、專案開發、以及相關的推廣與後續維護條件要求。
5.熟悉Python或具備Python軟體開發經驗，並熟悉相關IDE開發環境運用。 
6.熟悉SQL Statement的使用與概念。 
7.熟悉Git或其他相關版控機制。 
8.熟悉Linux系統開發環境。 
9.熟悉機器學習、深度學習、統計分析模型
10.具K8S建置能力

【加分項】
熟悉DataStage、Trinity、Imformatica或SSIS等ETL工具佳。

【在這裡你可以】
● 參與銀行中台系統專案，踏入金融產業的好跳板，獲得更多銀行微服務業務邏輯的經驗
● 學習微服務架構，使個人的技術快速成長，接觸金融界最新的技術
● 不用加班，達到工作與生活的平衡

",高中以上,不拘,"['Linux', 'Git', 'Python', 'DataStage', 'ETL', 'MS SQL', 'hadoop']","1. 善於溝通，能透過溝通說明工作上所遇到困難並請求協助。
2. 熟悉docker使用以及網路相關設定者佳。
3. 熱於接受挑戰，對於死線觀念正確者優先。


【福利待遇】
月獎金 
季獎金
年終獎金
專案獎金

【聯絡方式】
宇安科技 楊經理
0970-552-970

－－－－－－－－－－－－－－－－

我們是宇安科技，
一間成立兩年、團隊平均年齡不到二十五歲的新創公司，這兩年靠著一群年輕人想當然的憑著熱血做事，逐漸闖出了些許的成績。
目前我們面對更多不同類型的案件，農業中的各種設備挑戰，急需態度良好的夥伴加入，喜歡接受挑戰的你，剛出社會不知道該掌握那些技能？覺得你身手不凡卻無從發揮？
宇安科技｜歡迎你的加入！ 
"
【資料分析】資料分析工程師 (新竹),智聯服務股份有限公司,新竹市,"月薪40,000~55,000元",//www.104.com.tw/job/6th8v?jobsource=jolist_d_relevance,"•	 對大數據資料分析、處理、視覺化有興趣者。  
•	 曾修習SQL相關課程或有實際應用經驗。
•	 對於 Splunk 語法操作不需熟稔，公司會提供相關訓練及教材。  
•	 具備程式撰寫經驗為佳。
•	樂於學習及良好的溝通能力
•	熟悉資料庫與SQL語句應用
•	熟悉Excel繪圖工具與基本函式運用 

",大學、碩士,資訊管理相關、資訊工程相關,"['MS SQL', 'Excel']","•      熟悉 Splunk 語法操作
•	熟悉資料庫與SQL語句應用
•	熟悉Excel繪圖工具與基本函式運用
"
Sr./ Data Engineer 資料工程師,17LIVE_英屬維京群島商藝啟股份有限公司臺灣分公司,台北市中正區,待遇面議,//www.104.com.tw/job/6roij?jobsource=jolist_b_relevance,"17LIVE 歡迎對以下工作內容有興趣的 資深/資料工程師 加入我們的大家庭！

做為一位資料工程師，您將在一個敏捷的團隊中工作。隨著我們不斷地推動技術發展，我們需要工程師能解決各種問題，能對新挑戰充滿熱情。在這裡，您將負責：

1. 開發及維運資料倉儲系統
2. 建立 ETL 流程來收集、處理、重整資料
3. 支援分析資料相關的工作
4. 運用您的技術讓產品的品質及方向更好
5. 和一群聰明的夥伴一起尋找能幫助公司成功的方向


如果您具備以下工作技能及工作經驗，請不要猶豫立即手刀提出申請：

1. 具有三年以上的軟體開發經驗
2. 基於雲端解決方案來建立大規模 ETL 流程的經驗
3. 利用 SQL, Python, R 來建立資料模型
4. 擁有Unix-like作業系統的操作經驗
5. 根據資料說故事及表達的能力


加分條件：

1. 熟悉 Google 的雲端資料解決方案，例如 BigQuery
2. 熟悉工作流程管理工具，像是Digdag或AirFlow
3. 擁有打造/操作資料湖泊和資料倉儲的經驗
4. 擁有設計/實現即時資料處理管線的經驗
5. 有做過使用者行為預測的經驗
  

We are current hiring for Sr./ Data Engineer professionals that will take part in: 

As a Data Engineer, you work on a small team as our fast-paced business grows and evolves. We need our engineers to be versatile and passionate to tackle new problems as we continue to push the technology forward.


You will be in charge of:

1. Develop and operate data warehouse system. 
2. Build ETL pipeline for data collection, processing and aggregation.
3. Support data analysis tasks.
4. Apply your skills in a business that truly improve the quality of the product.
5. Work in a team of talented analysts/engineers and discover new ways to help the company succeed.
 

You will be highly considered if you have the following experience: 

1. At least 3 years experience in software development.
2. Experience on Building and designing large-scale ETL pipeline with Cloud Solution
3. Data Modeling with SQL, Python, and R
4. Experience with Unix-like operation system e.g. Redhat or Ubuntu
5. Data Storytelling and Presentation


Good to have:

1. Familiar with BigQuery and GCP's data solution
2. Familiar with workflow management tools such as Digdag or Airflow
3. Experience of building/operating data Lake and data Warehouse
4. Experience of designing/implementing real-time data process pipelines
5. Experience of predicting user/consumer Behavior",大學以上,不拘,[],"以下為目前團隊所使用的技術(非必要招募條件)：
GCP: BigQuery, DataFlow, Pub/Sub, DataProc, Stackdriver
OpenSource: Digdag, Embulk, Fluentd
Language: Python, Ruby, R"
資料分析工程師,聚和國際股份有限公司,高雄市大寮區,待遇面議,//www.104.com.tw/job/7h0mf?jobsource=jolist_b_relevance,"1.熟悉SAS、R或Python應用及Excel統計分析功能。
2.具備資料統計分析、數據挖掘 (Data Mining) 、大數據處理分析能力。
3.能分析營運或工廠數據關聯特性、資料探勘統計數據解讀，應用為製程改善、市場趨勢報告。
4.需跨領域團隊合作、溝通協調能力，且具獨立研究能力。",大學、碩士,資訊工程相關、數學及電算機科學學科類,[],"1.有企圖心，願意學習新事物
2.有良好的溝通協調能力及團隊合作
3.分析思考及邏輯能力強"
5B資訊部門-SQL 資料庫程式工程師,臺灣新光商業銀行股份有限公司,台北市松山區,待遇面議,//www.104.com.tw/job/7nwcb?jobsource=jolist_b_relevance,"信用卡相關系統開發、維運
跨部門溝通梳理商業邏輯",大學以上,資訊管理相關、資訊工程相關,['MS SQL'],"資訊工程相關、資訊管理或有數理背景相關科系
1. 具備 SQL 語言操作經驗。
2. 具備 Store Procedure、Function 開發與調校經驗。
3. 具一年以上 MS SQL 相關工作經驗。

可獨立或與團隊合作，工作態度積極、負責"
【系統一二課】MIS資料庫工程師(台北/高雄),巨騰智聯科技股份有限公司,台北市士林區,待遇面議,//www.104.com.tw/job/7hh0h?jobsource=jolist_b_relevance,"※工作內容※
1. 企業內部需求系統規劃，資安防護及權限設定。
2. 與公司工程部門配合，協助特定專案網路問題解決、資訊提供，及相關系統之分析(SA)、設計(SD)或程式撰寫(PG)。
3. 資料庫領域如SQL語法指令安裝、編寫、執行、設定、偵錯、日常維護、效能監控及操作。
4. 撰寫Script以自動化進行日常工作進行或監控。

※個人特質※
1. 具有獨立解決問題能力。
2. 有責任感。
3. 良好溝通技巧。
4. 不停止的學習不斷變化的MIS專業領域。

※必備條件※
實務經驗二年以上。(Oracle、MS SQL Server、MySQL至少一種) 
",高中、專科、大學、碩士,資訊工程相關、其他數學及電算機科學相關、電機電子工程相關,"['C', 'C++', 'Database Management', 'MS SQL', 'MySQL', 'JavaScript']","資訊工程相關、資訊管理或有數理背景相關科系
1. 具備 SQL 語言操作經驗。
2. 具備 Store Procedure、Function 開發與調校經驗。
3. 具一年以上 MS SQL 相關工作經驗。

可獨立或與團隊合作，工作態度積極、負責"
資料庫分析設計工程師(技術開發處),樂意傳播股份有限公司,新北市新店區,"月薪30,000元以上",//www.104.com.tw/job/7k7n1?jobsource=jolist_b_relevance,"具備良好分析資料庫的能力。
1年以上MSSQL或其他RDBMS管理營運經驗。
主管交辦事項。",專科以上,不拘,"['MS SQL', 'RDBMS']","會韓文或英文溝通者加分。
能分析資料庫者。
具良好的溝通能力、能傾聽、協調、指導。
能針對事情做出準確的判斷。
可預先做出規劃安排。"
