職缺,公司名稱,地址,薪資,連結,工作內容,工作經驗,科系要求,擅長工具,其他條件
Internet前端工程師,奇禾互動行銷有限公司,台北市信義區,待遇面議,//www.104.com.tw/job/3nu4h?jobsource=jolist_c_relevance,"在數位行銷團隊中作一個Internet工程師，是非常有趣的工作。一方面可以跟不同專業的設計、企劃、互動等等夥伴合作，另一方面也可以學習各種不同的技術與開發領域。
這也是現在網路世界不可或缺的職位，可以讓你廣泛涉獵不同的專業項目，跟上最新的數位技術應用，未來在這領域的發展無窮。

我們期望你有以下的技術專長：
1、有和創意設計人員一同完成專案的整合能力。
2、HTML CSS前端視覺研發工作，研究新的互動應用技術及特效。 
3、JS與資料庫的串接及應用研發。 
4、互動軟硬體技術整合的研發及應用。
5、能適應快速變化的網路行銷產業，有熱忱，主動學習討論並應用新技術。
6、喜歡接受新技術應用的挑戰，融入團隊合作。

主要工作內容
* 切版 (Photoshop/ Ziplin / Figma / Adobe XD => HTML + CSS )
* 使用 CSS 或 JS 製作網頁動態
* 使用 Vue.js串接後端API

工作條件需求
* 熟悉 JQuery Vue.js
* 頁面RWD架構及處理
* 上傳圖片檔案處理
* 網頁嵌入FB GA等追蹤碼
* 網頁嵌入 Youtube及運用
* 使用過前端打包工具 ( Webpack 等 ) 
* 處理跨瀏覽器，跨手機疑難雜症
* 有網站SEO 概念
* 使用瀏覽器網頁檢閱工具 ( dev tool )
* 串接臉書, LINE等社交平台 API
* 有良好記錄文件習慣，增進團隊溝通效率
* 調校網頁效能",專科、大學、碩士,不拘,"['HTML', 'JavaScript', 'jQuery', 'CSS', 'Node.js', 'VueJS', 'Google Analytics']","1. 對挑戰網站新技術有熱忱
2. 良好的溝通能力
3. 有責任感、可獨立作業、積極主動
4. 有相關經驗者尤佳"
資訊部網頁前端工程師,童綜合醫療社團法人童綜合醫院,台中市梧棲區,"月薪35,000~70,000元",//www.104.com.tw/job/6sjx5?jobsource=jolist_c_relevance,"對於自己的產出，有高度的自我要求，忠實傳達UI/Ux設計理念，創造優質的使用者體驗。
主要工作是與UI設計師搭配，進行套版、特效、互動設計等，並與後端串接。
需熟悉前端框架之使用，例如: Vue.js、JQuery，或其他javascript框架。
本公司目前使用以下技術開發網頁 PHP/Python/RWD/HTML/CSS/Javascript/Vue.js/JQuery並串接RESTful API。
需對Python, Flask, Pandas, 基本SQL語法有基本之認識(不一定要非常專精，但與後端工程師溝通時會需要初階的知識)。
具備良好溝通能力、熱愛研究新技術、並且樂於分享新知。
需有執行實際專案之經驗(工作上或學校專案皆可)。
於面試時，請自備筆記型電腦，實際demostrate程式碼，並準備之前工作實績與學經歷之簡報。
具備Linux基本操作能力，與基本Git使用能力。
若具有web server建置經驗、RESTful API撰寫經驗、資料庫管理經驗、Unit test使用經驗、docker或Kubernetes操作能力、Ansible等自動化腳本撰寫能力、CI/CD使用經驗者更佳。",大學以上,資訊管理相關、資訊工程相關,[],★應屆畢業生請附上最高學歷(碩士或大學)的成績單
軟體設計資深工程師_智能解決方案事業發展部(桃三),台達電子工業股份有限公司 _DELTA ELECTRONICS INC.,桃園市桃園區,待遇面議,//www.104.com.tw/job/7m2f8?jobsource=jolist_c_relevance,"1. 主要負責Web base系統開發、設計
2. 與各產品軟體工程師合作，提高軟體的整體生產效率
3. 通用軟體組件開發、系統共用平台，優化軟體執行效能，資訊安全風險分析
4. 撰寫軟體開發相關文件、安裝、使用手冊
5. 維護現有系統(相關技能jQuery、Bootstrap、CSS)

＊技術開發技能：
1. 精通軟體開發工具及程式語言(C#、JavaScript、TypeScript、SQL)
2. 有Angular網頁前端框架經驗尤佳
3. 熟悉軟體架構、設計模式
4. 系統效能優化
5. 良好撰寫軟體技術文件、測試計畫能力
6. 有CI/CD經驗尤佳 ",大學、碩士,資訊工程相關、電機電子工程相關、數理統計相關,"['C#', 'JavaScript']","1. 主動與持續學習相關技術
2. 具技術前瞻性及新技術敏感性
3. 善於溝通協調與積極解決問題
4. 具備優異的簡報與解說能力
5. 樂意與他人合作"
軟體/韌體/Embedded Linux 系統開發資深工程師/正工程師(保障年薪),田宜創智股份有限公司,台北市中山區,"月薪90,000元以上",//www.104.com.tw/job/7nkd1?jobsource=jolist_c_relevance,"(1) 3+年Linux kernel開發經驗，熟悉uboot、kernel、sysD/sysV服務自動化等
(2) 3+BSP維護經驗、熟悉效能分析工具
(3) 2+年Linux Driver移植、修改、開發經驗
(4) 熟悉Linux，具備RGB888、LVDS、USB、UART、Ethernet、CAN、SPI外部設備整合、開發能力
(5) 具Yocto使用經驗，能夠打包image、修改meta-layers及編譯Toolchain
(6) 具硬體知識，能查看原理圖及Datasheet進行除錯
(7) 具備基礎設備操作能力（三用電錶、示波器、函數產生器...）
(8) 可團隊合作：與UI/UX設計師、應用層工程師溝通，參與專案討論、說明及開發產品
(9) 有產品化經驗加分
(10) 有NVIDIA Jetson開發經驗加分
(11)配合研發相關文件撰寫
",大學、碩士,不拘,"['Linux', 'Github', 'C', 'C++']","1. 重視團隊合作
2. 良好溝通與表達能力
3. 主動積極，個性細心
附上Github/Gitlab/Bitbucket連結或是核心程式片段者 優先考量職務類別"
網站後台前端工程師,藍圈科技股份有限公司,苗栗縣頭份市,待遇面議,//www.104.com.tw/job/7b1r9?jobsource=jolist_c_relevance,"目前因為前端工程師不足，為了開發公司新的電商網站及管理後台，因此應聘前端工程師
有興趣的朋友歡迎投遞履歷或轉介適合的人!
【公司名稱】藍圈科技股份有限公司
【公司介紹】我們是一家電商企業，目前主要販賣網通設備，由於一些未來企劃，因此計畫將網站重新製作

前端技術：html、css、ajax等
前端框架：next.js或react.js
其他：有管理後台切版及串接經驗者佳
【薪資範圍】40000~50000
工作地點台中,苗栗,新竹優，平時遠端為遠端工作
【公司制度/福利】
▼周休二日，09：00-18：00
▼含勞健保及完整的退休制度
▼期望上班時間：越快越好
【應徵方式】歡迎隨信附帶您的履歷至下方信箱!
聯絡人信箱/郭先生：peter.kuo@brtech.com.tw
履歷主旨需備註「應徵-網頁前端工程師」
",不拘,不拘,"['AJAX', 'HTML', 'jQuery', 'CSS', 'ReactJS']","1. 重視團隊合作
2. 良好溝通與表達能力
3. 主動積極，個性細心
附上Github/Gitlab/Bitbucket連結或是核心程式片段者 優先考量職務類別"
"GraphQL, Node.js 後端工程師",幣護股份有限公司,台北市信義區,"年薪1,000,000元以上",//www.104.com.tw/job/7m7g3?jobsource=jolist_c_relevance,"《職務描述．Job Description》
- 了解專案需求並規畫架構、進行程式開發
- 維護現有系統
- 研究新技術以利優化產品
- 與前端工程師、PM、設計師配合開發

《技術需求．Hard Skills》
- 3年以上 back-end 開發經驗
- 有 AWS/GCP service (ex. Cognito, S3, RDS and etc) 使用和佈署經驗
- 有 Docker 使用經驗
- 有 Load Balancer 使用經驗
- 熟悉 Linux 指令與操作
- 熟悉 Typescript / Node.js
- 熟悉 Relational Database
- 有開發 GraphQL Schema 或 RESTful API 相關機驗
- 熟悉 Git Flow 並且能夠運用
- 具備撰寫單元測試之經驗
- 互相檢視程式碼 (Code Review)，以確保知識傳承

《加分．Plus》
- 資訊相關科系學歷背景
- 了解 CI/CD 自動化運維之解決方案
- Blockchain 相關知識與熱情，例如具備 Ethereum 基礎知識
- 流暢的英文溝通能力
- 活動參與度高！融入團隊很重要

＝＝＝＝＝＝

《公司福利． Perks》
- 彈性上下班時間 
- 每週提供三天午餐 
- 選配 MacBook & 外接螢幕 
- 各種零食飲料 + 啤酒 + 咖啡 
- 各種充滿創意的公司 Team Building 活動
- 一群可愛歡樂的同事
- 漂亮的辦公室
- 每週一天自由選擇的遠端工作日（remote）

《面試流程．Procedure》
- 履歷符合者將收到 HR 的面試邀請信
- 面試採取現場面試，地點為台北辦公室（象山捷運站附近）
- 面試現場將由後端工程師與 PM 共同進行初試
- 約一至二週會由 HR 告知結果、並由 HR 進一步討論人事與薪資相關會談
",大學以上,不拘,"['Github', 'AWS', 'Node.js', 'Git']","1. 重視團隊合作
2. 良好溝通與表達能力
3. 主動積極，個性細心
附上Github/Gitlab/Bitbucket連結或是核心程式片段者 優先考量職務類別"
資料庫程式工程師,商智資訊股份有限公司,台北市大安區,"月薪28,000~75,000元",//www.104.com.tw/job/1yf7o?jobsource=jolist_c_relevance,"資料庫程式工程師
熟悉 SQL Server/Oracle/DB2 任一種資料庫操作",大學以上,不拘,"['DB2', 'MS SQL', 'Oracle']"," 1. 熟資料庫SQL 語法, 指令及運用
2. 有 Store Procedure coding 一年(含)以上經驗
3. 熟悉 SQL Server/Oracle/DB2 任一種資料庫操作 "
資料庫工程師 /backend 工程師,TURBO TENT＿永泰戶外股份有限公司,新北市土城區,"月薪42,000~72,000元",//www.104.com.tw/job/7hwp6?jobsource=jolist_c_relevance,"本工作職缺適合後端工程師(Backend Engineer)
1. 負責MSSQL資料庫系統架構設計、建置與維護 2. 資料庫維護、異常排除、問題分析等日常管理 3.負責資料庫的性能診斷分析和系統優化調校SQL程式效能、問題追蹤等 4. 撰寫資料庫自動化管理維運等相關程式 5. API串接 資訊往來合作公司

需要有經驗工作者
資料庫規劃、建置、維護 2. 資料庫維護、異常排除、問題分析等日常管理 3. 資料效能監控及協助開發人員調校SQL程式效能 4. 撰寫資料庫自動化管理維運等相關程式 5",大學以上,不拘,"['Python', 'MS SQL']"," 1. 熟資料庫SQL 語法, 指令及運用
2. 有 Store Procedure coding 一年(含)以上經驗
3. 熟悉 SQL Server/Oracle/DB2 任一種資料庫操作 "
前端設計工程師(Frontend)_樓宇自動化事業群(台北),台達電子工業股份有限公司 _DELTA ELECTRONICS INC.,台北市內湖區,待遇面議,//www.104.com.tw/job/77x4b?jobsource=jolist_c_relevance,"工作技能 : 
1.WEB開發所屬技術領域
2.產品規格分析
3.元件規格分析
4.初階程式撰寫
5.單元測試驗證
6.系統整合
7.技術文件撰寫 

主要職責 : 
1.熟悉WEB開發工具及相關程式語言 。
2.進行單元功能程式整合。
3.單元功能程式撰寫及驗證。
4.系統壓力測試。
5.撰寫工程規格/技術文件(包含測試計畫)。",大學以上,不拘,"['JavaScript', 'TCP/IP']","1. 具Web frontend(Bootstrap...)程式開發經驗
2. .Net framework開發經驗
3. 具軟體架構設計經驗
4. 熟Web 開發相關語言(JAVA script, ...)
5. 網路通訊程式開發(TCP/IP, MQTT, ... )
6. 具資料庫程式設計經驗尤佳"
AI開發工程師 AI development Engineer,小柿智檢科技股份有限公司,新北市林口區,待遇面議,//www.104.com.tw/job/6z40m?jobsource=jolist_c_relevance,"1. AI深度學習演算法之工程化、重構、平行化、性能優化及驗證工作。
2. 對現有成熟算法進行SDK及API化。
3. 熟悉深度學習, 機器視覺, 數位影像方面的理論及技術。
4. 熟悉一種或以上的深度學習框架，如Tensorflow、Caffe、PyTorch等。
5. 自主編寫程式與調試，能使用Python、C++實現預定的演算法邏輯。",大學以上,資訊工程相關、數理統計相關、其他數學及電算機科學相關,"['UNIX', 'Github', 'C++', 'Python']","1. 有機器學習、深度學習相關工作或比賽經驗者佳。
2. 具OpenCV開發經驗者佳。
3. 具TensorRT推理框架開發經驗者佳。
4. 具Docker開發經驗者佳。
5. 具團隊合作能力、良好表達與溝通能力，能獨立完成專案者佳。"
PHP 後端工程師（WordPress）,英屬維京群島商暟能世紀有限公司台灣分公司,台北市大同區,"月薪50,000~90,000元",//www.104.com.tw/job/7jagn?jobsource=jolist_c_relevance,"願景:
讓每個人能在科技的幫助下自由探索自我價值與興趣，進而能與全球同好一起培養自我專長，並最終能群策群力的貢獻自我價值，走入人生命定。

文化:
1. 為新創公司，沒有階級，希望團隊成員皆能發表自己看法，鼓勵 Think Global ,Dream Big but Start from Small
2. 團隊強調快速因應市場變化，隨時調整戰略，但絕對不忘初衷與理念。
3. 團隊核心成員不多，但有投資人國際資源的協助與輔導，從台灣出發，但發展全球市場

特別提醒:
最會創業的矽谷，創業成功率也低於5％，我們不能保證公司會一帆風順與天色常藍，但我們能保證挫折與失敗不會擊退我們的核心團隊與我們的投資人，因為我們深知失敗越多就離成功越近。

團隊網站: 尚未公開，先提供投資者TXI Partners的網站 txipartners.com

工作內容:
1. 以用戶為中心規劃與開發企業教育與技能培訓平台/經銷管理平台/電商平台，打造全方位的數位平台。
2. 規劃各平台的發展藍圖、開發流程、整合方式與待辦事項
3. 與國際團隊合作，發展運用跨國資源的產品服務
4. 分析、監控與評估系統產品，以確保產品的更新與迭代

必要技能：
1.孰悉PHP/MySQL程式語言，PHP開發經驗三年以上，能獨立進行後端開發作業者。
2.具備良好的Coding習慣及技術文檔編寫的能力
3.了解資料庫設計，具備基本資料庫正規化之知識
4.會使用Git版本控制系統
5.熟悉Web前後端之組成架構
6.具備串接及整合不同第三方系統服務的能力
7.具備程式追蹤除錯的能力
8.了解與熟悉前端語言及語法(HTML、CSS、Javascript、jQuery)
9.願意改善或透過工具來使自己的工作流程更有效率
10.WordPress 網站程式開發維護經驗至少三年以上，熟悉 WordPress與其生態系，有豐富使用外掛經驗
11.開發過WordPress外掛應用或Theme、了解其Hooks機制，進行過客制化修改
12.了解怎麼提高WordPress安全性
13.網站工程相關服務之設定(網址註冊、DNS設定、郵件伺服器設定等)，如AWS、DigitalOcean、CloudFlare等…
14. 客戶會來自不同國家，且打造的平台需面向國際市場，因此須具備基本英文聽讀寫能力

加分技能：
1. 熟悉React.js
2. 熟悉Laravel
3. 具備PHP Unit Testing、Integration Testing 測試經驗

公司產品線(註:因部份涉及商業機密，面談時會介紹更仔細):
1. 企業教育/技能培訓平台與企業電商平台
2. 線上社群媒體平台
3. 半導體設備 Simulator 與企業內訓軟體
4. 培訓產業經銷管理系統

工作環境:
1. 提供一桌機(windows)，兩個大螢幕
2. 上班時間彈性：8:30 至 9:30（若有其他時段需求可以討論），非遠端工作
3. 公司不鼓勵加班，但也不排除有加班的可能。
4. 工作地點在台北市digiBlock園區 (圓山捷運站旁)

面試流程：
請您自我介紹，介紹自已過去的工作表現，在之前公司中是什麼角色，解決了什麼問題與成果等等…
公司會介紹目前與未來要展開的產品內容
技術觀念問答，現場問答

薪資待遇：
50,000至90,000/月，視工作年資及能力有不同薪資級距，任職滿一年且符合條件者，另有股權激勵方案；人員流動對新創團隊不健康，所以我們希望能謹慎找到志同道合的核心夥伴",不拘,不拘,"['Github', 'Git', 'C#', 'PHP', 'MySQL', 'AWS', 'HTML', 'JavaScript', 'jQuery', 'CSS', 'ReactJS']",聯絡方式: 請先勞煩您寄送您的履歷給我們，團隊將會先進行審閱，若合適者將另行安排後續會面時間，謝謝您。期待遇見志同道合的您。
後端工程師(北區),慧誠智醫股份有限公司,台北市內湖區,待遇面議,//www.104.com.tw/job/77cx9?jobsource=jolist_c_relevance,"工作內容:
1.	使用Java/Python開發雲端服務程式
2.	與前端工程師合作, 開發API
3.	開發Gateway 程式
4.	撰寫設計開發文件
必備條件:
1.	熟練Python或Java 程式語言
2.	熟悉 TCP/UDP程式開發
3.	具備 Linux 作業系統操作及程式開發經驗
4.	熟練DB建置(MySQL/PostgreSQL/MS SQL)
5.	了解 HTTP Protocol 並有豐富與後端 API 開發經驗
6.	了解 雲端服務架構
7.	須持續學習並精進相關技術
加分項目:
1.	有nginx/redis/rabbitmq經驗
2.	具K8S/Docker經驗
3.	具 RS-232/RS-485/Bluetooth 通訊程式開發經驗
4.	具 OpenCV開發經驗",大學以上,資訊工程相關、電機電子工程相關、資訊管理相關,"['Linux', 'Java', 'Python', 'TCP/IP']",聯絡方式: 請先勞煩您寄送您的履歷給我們，團隊將會先進行審閱，若合適者將另行安排後續會面時間，謝謝您。期待遇見志同道合的您。
遊戲前端開發工程師,氪龍有限公司,台北市中山區,待遇面議,//www.104.com.tw/job/6fh0j?jobsource=jolist_c_relevance,"1、使用CocosCreator進行項目相關功能模塊任務的開發。
2、根據項目需求，進行遊戲程序設計及開發工作。
3、與服務器後端工程師溝通設計網絡通信協議等。
4、與項目組策劃、美術人員共同討論開發需求及設計遊戲實現細節，保證產品質量和進度。
",專科以上,不拘,['JavaScript']," 1. 有較強的學習能力，能夠獨立解決問題。
2. 有開放的心態，能夠較快地適應各種變化。
3. 熟悉CocosCreator或其他(Unity、Egret、Lua...等)任一開發引擎，並至少開發過一款遊戲。
4. 熟悉 JavaScript / TypeScript語言，良好的OOP編程思想。
5. 有良好的代碼書寫、註釋和單元測試習慣，熟練運用多種軟件設計模式。
6. 對遊戲資源優化、內存及性能優化、代碼混淆有一定的研究。 "
資深軟體工程師,迪普資訊整合有限公司,台北市松山區,"月薪65,000元以上",//www.104.com.tw/job/6wvbh?jobsource=jolist_c_relevance,"工作內容
網站前端架構規劃與設計
網頁前端工程開發 
網頁後端工程開發 

能力需求
熱情於程式開發技術，不排除學習新技術
具備程式設計基礎 (有 C#/JavaScript/MVC 撰寫經驗)
有C/C++開發經驗者佳
樂於溝通，具團隊合作精神

加分項目
架構能力：對程式能有基本的架構能力，減少重複、增加效率
懶惰：願意為了減少工作時間而研究提升效率的工作方法
學習：能夠快速學習新的技能或工具者佳
版控：熟悉 Git 版本控管基本操作
後端經驗：有後端開發經驗，如: ASP.NET C#..",專科、大學、碩士,不拘,"['Github', 'C#', 'MS SQL', 'HTML', 'JavaScript', 'jQuery']"," 1. 有較強的學習能力，能夠獨立解決問題。
2. 有開放的心態，能夠較快地適應各種變化。
3. 熟悉CocosCreator或其他(Unity、Egret、Lua...等)任一開發引擎，並至少開發過一款遊戲。
4. 熟悉 JavaScript / TypeScript語言，良好的OOP編程思想。
5. 有良好的代碼書寫、註釋和單元測試習慣，熟練運用多種軟件設計模式。
6. 對遊戲資源優化、內存及性能優化、代碼混淆有一定的研究。 "
自動化軟體工程師,全智新系統科技股份有限公司,新竹市,"月薪55,000元以上",//www.104.com.tw/job/713tw?jobsource=jolist_b_relevance,"1.	透過程式語言進行自動化設備之控制排程系統設計。
2.	透過程式語言進行使用者介面設計。
3.	自動化設備程式之系統安裝、版本管理。
4.	控制程式系統維護與修改。

",專科以上,不拘,"['C', 'C#', 'C++']","1.    有時間進度觀念。
2.    具備獨立思考分析能力與高情商。
3.    可配合加班與國內外出差。
4.    專精C、C++、C# 其一或以上程式語言。
5.    熟悉電機元件特性與控制之應用。
6.    熟悉各種通訊協定與串接模組之應用。
7.    有實質作品開發經驗者佳。
"
